ticker,cik,company_name,sic_code,sic_description,classification,classification_reason,fiscal_year_end,entity_type,exchanges,business_address
"AQN","0001174169","Algonquin Power & Utilities Corp. Common Shares","4911","Electric Services","Electric Services","Primary Utility SIC 4911: Electric Services","1231","other","[""NYSE"",""OTC"",""NYSE""]","{""street1"":""354 DAVIS ROAD"",""street2"":null,""city"":""OAKVILLE"",""stateOrCountry"":""A6"",""zipCode"":""L6J2X1"",""stateOrCountryDescription"":""Ontario, Canada"",""isForeignLocation"":null,""foreignStateTerritory"":null,""country"":null,""countryCode"":null}"
"AQNB","0001174169","Algonquin Power & Utilities Corp. 6.20% Fixed-to-Floating Subordinated Notes Series 2019-A due July 1 2079","4911","Electric Services","Electric Services","Primary Utility SIC 4911: Electric Services","1231","other","[""NYSE"",""OTC"",""NYSE""]","{""street1"":""354 DAVIS ROAD"",""street2"":null,""city"":""OAKVILLE"",""stateOrCountry"":""A6"",""zipCode"":""L6J2X1"",""stateOrCountryDescription"":""Ontario, Canada"",""isForeignLocation"":null,""foreignStateTerritory"":null,""country"":null,""countryCode"":null}"
"AR","0001433270","Antero Resources Corporation Common Stock","1311","Crude Petroleum & Natural Gas","Diversified Utility","Extended SIC 1311 + Keywords: natural gas","1231","operating","[""NYSE""]","{""street1"":""1615 WYNKOOP STREET"",""street2"":null,""city"":""DENVER"",""stateOrCountry"":""CO"",""zipCode"":""80202"",""stateOrCountryDescription"":""CO"",""isForeignLocation"":null,""foreignStateTerritory"":null,""country"":null,""countryCode"":null}"
"AROC","0001389050","Archrock Inc. Common Stock","4922","Natural Gas Transmission","Natural Gas Transmission","Primary Utility SIC 4922: Natural Gas Transmission","1231","operating","[""NYSE""]","{""street1"":""9807 KATY FREEWAY"",""street2"":""STE 100"",""city"":""HOUSTON"",""stateOrCountry"":""TX"",""zipCode"":""77024"",""stateOrCountryDescription"":""TX"",""isForeignLocation"":null,""foreignStateTerritory"":null,""country"":null,""countryCode"":null}"
"ARTNA","0000863110","Artesian Resources Corporation Class A Common Stock","4941","Water Supply","Diversified Utility","Extended SIC 4941 + Keywords: water, water supply","1231","operating","[""Nasdaq"",""OTC""]","{""street1"":""664 CHURCHMANS RD"",""street2"":null,""city"":""NEWARK"",""stateOrCountry"":""DE"",""zipCode"":""19702"",""stateOrCountryDescription"":""DE"",""isForeignLocation"":null,""foreignStateTerritory"":null,""country"":null,""countryCode"":null}"
"ATO","0000731802","Atmos Energy Corporation Common Stock","4924","Natural Gas Distribution","Natural Gas Distribution","Primary Utility SIC 4924: Natural Gas Distribution","0930","operating","[""NYSE""]","{""street1"":""1800 THREE LINCOLN CTR"",""street2"":""5430 LBJ FREEWAY"",""city"":""DALLAS"",""stateOrCountry"":""TX"",""zipCode"":""75240"",""stateOrCountryDescription"":""TX"",""isForeignLocation"":null,""foreignStateTerritory"":null,""country"":null,""countryCode"":null}"
"AVA","0000104918","Avista Corporation Common Stock","4931","Electric & Other Services Combined","Electric & Other Services Combined","Primary Utility SIC 4931: Electric & Other Services Combined","1231","operating","[""NYSE""]","{""street1"":""1411 E MISSION AVE"",""street2"":null,""city"":""SPOKANE"",""stateOrCountry"":""WA"",""zipCode"":""99202"",""stateOrCountryDescription"":""WA"",""isForeignLocation"":null,""foreignStateTerritory"":null,""country"":null,""countryCode"":null}"
"AWK","0001410636","American Water Works Company Inc. Common Stock","4941","Water Supply","Diversified Utility","Extended SIC 4941 + Keywords: water, water supply","1231","operating","[""NYSE""]","{""street1"":""1 WATER STREET"",""street2"":null,""city"":""CAMDEN"",""stateOrCountry"":""NJ"",""zipCode"":""08102-1658"",""stateOrCountryDescription"":""NJ"",""isForeignLocation"":null,""foreignStateTerritory"":null,""country"":null,""countryCode"":null}"
"AWR","0001056903","American States Water Company Common Stock","4941","Water Supply","Diversified Utility","Extended SIC 4941 + Keywords: water, water supply","1231","operating","[""NYSE""]","{""street1"":""630 E FOOTHILL BLVD"",""street2"":null,""city"":""SAN DIMAS"",""stateOrCountry"":""CA"",""zipCode"":""91773-9016"",""stateOrCountryDescription"":""CA"",""isForeignLocation"":null,""foreignStateTerritory"":null,""country"":null,""countryCode"":null}"
"BATL","0001282648","Battalion Oil Corporation Common Stock","1311","Crude Petroleum & Natural Gas","Diversified Utility","Extended SIC 1311 + Keywords: natural gas","1231","operating","[""NYSE""]","{""street1"":""820 GESSNER ROAD"",""street2"":""SUITE 1100"",""city"":""HOUSTON"",""stateOrCountry"":""TX"",""zipCode"":""77024"",""stateOrCountryDescription"":""TX"",""isForeignLocation"":null,""foreignStateTerritory"":null,""country"":null,""countryCode"":null}"
"BEP","0001533232","Brookfield Renewable Partners L.P. Limited Partnership Units","4911","Electric Services","Electric Services","Primary Utility SIC 4911: Electric Services","1231","other","[""NYSE"",""NYSE"",""NYSE"",""NYSE"",""NYSE"",""OTC""]","{""street1"":""73 FRONT STREET"",""street2"":""FIFTH FLOOR"",""city"":""HAMILTON"",""stateOrCountry"":""D0"",""zipCode"":""HM 12"",""stateOrCountryDescription"":""Bermuda"",""isForeignLocation"":null,""foreignStateTerritory"":null,""country"":null,""countryCode"":null}"
"BEPC","0001791863","Brookfield Renewable Corporation Brookfield Renewable Corporation Class A Subordinate Voting Shares","4911","Electric Services","Electric Services","Primary Utility SIC 4911: Electric Services","1231","other","[""NYSE""]","{""street1"":""250 VESEY STREET, 15TH FLOOR"",""street2"":null,""city"":""NEW YORK"",""stateOrCountry"":""NY"",""zipCode"":""10281-1023"",""stateOrCountryDescription"":""NY"",""isForeignLocation"":null,""foreignStateTerritory"":null,""country"":null,""countryCode"":null}"
"BEPH","0001533232","Brookfield BRP Holdings (Canada) Inc. 4.625% Perpetual Subordinated Notes","4911","Electric Services","Electric Services","Primary Utility SIC 4911: Electric Services","1231","other","[""NYSE"",""NYSE"",""NYSE"",""NYSE"",""NYSE"",""OTC""]","{""street1"":""73 FRONT STREET"",""street2"":""FIFTH FLOOR"",""city"":""HAMILTON"",""stateOrCountry"":""D0"",""zipCode"":""HM 12"",""stateOrCountryDescription"":""Bermuda"",""isForeignLocation"":null,""foreignStateTerritory"":null,""country"":null,""countryCode"":null}"
"BEPI","0001533232","Brookfield BRP Holdings (Canada) Inc. 4.875% Perpetual Subordinated Notes","4911","Electric Services","Electric Services","Primary Utility SIC 4911: Electric Services","1231","other","[""NYSE"",""NYSE"",""NYSE"",""NYSE"",""NYSE"",""OTC""]","{""street1"":""73 FRONT STREET"",""street2"":""FIFTH FLOOR"",""city"":""HAMILTON"",""stateOrCountry"":""D0"",""zipCode"":""HM 12"",""stateOrCountryDescription"":""Bermuda"",""isForeignLocation"":null,""foreignStateTerritory"":null,""country"":null,""countryCode"":null}"
"BEPJ","0001533232","Brookfield BRP Holdings (Canada) Inc. 7.250% Perpetual Subordinated Notes","4911","Electric Services","Electric Services","Primary Utility SIC 4911: Electric Services","1231","other","[""NYSE"",""NYSE"",""NYSE"",""NYSE"",""NYSE"",""OTC""]","{""street1"":""73 FRONT STREET"",""street2"":""FIFTH FLOOR"",""city"":""HAMILTON"",""stateOrCountry"":""D0"",""zipCode"":""HM 12"",""stateOrCountryDescription"":""Bermuda"",""isForeignLocation"":null,""foreignStateTerritory"":null,""country"":null,""countryCode"":null}"
"BIPC","0001788348","Brookfield Infrastructure Corporation Brookfield Infrastructure Corporation","4923","Natural Gas Transmisison & Distribution","Natural Gas Transmission & Distribution","Primary Utility SIC 4923: Natural Gas Transmisison & Distribution","1231","other","[""NYSE""]","{""street1"":""250 VESEY STREET, 15TH FLOOR"",""street2"":null,""city"":""NEW YORK"",""stateOrCountry"":""NY"",""zipCode"":""10281"",""stateOrCountryDescription"":""NY"",""isForeignLocation"":null,""foreignStateTerritory"":null,""country"":null,""countryCode"":null}"
"BKH","0001130464","Black Hills Corporation Common Stock","4911","Electric Services","Known Utility Exception","Black Hills Corporation - Electric and natural gas utility","1231","operating","[""NYSE""]","{""street1"":""7001 MT RUSHMORE RD"",""street2"":""PO BOX 1400"",""city"":""RAPID CITY"",""stateOrCountry"":""SD"",""zipCode"":""57709"",""stateOrCountryDescription"":""SD"",""isForeignLocation"":null,""foreignStateTerritory"":null,""country"":null,""countryCode"":null}"
"BKV","0001838406","BKV Corporation Common Stock","1311","Crude Petroleum & Natural Gas","Diversified Utility","Extended SIC 1311 + Keywords: natural gas","1231","operating","[""NYSE""]","{""street1"":""1200 17TH ST., STE 2100"",""street2"":null,""city"":""DENVER"",""stateOrCountry"":""CO"",""zipCode"":""80202"",""stateOrCountryDescription"":""CO"",""isForeignLocation"":null,""foreignStateTerritory"":null,""country"":null,""countryCode"":null}"
"BRN","0000010048","Barnwell Industries Inc. Common Stock","1311","Crude Petroleum & Natural Gas","Diversified Utility","Extended SIC 1311 + Keywords: natural gas","0930","operating","[""NYSE""]","{""street1"":""1100 ALAKEA ST."",""street2"":""SUITE 500"",""city"":""HONOLULU"",""stateOrCountry"":""HI"",""zipCode"":""96813"",""stateOrCountryDescription"":""HI"",""isForeignLocation"":null,""foreignStateTerritory"":null,""country"":null,""countryCode"":null}"
"BRY","0001705873","Berry Corporation (bry) Common Stock","1311","Crude Petroleum & Natural Gas","Diversified Utility","Extended SIC 1311 + Keywords: natural gas","1231","operating","[""Nasdaq""]","{""street1"":""16000 N. DALLAS PARKWAY, SUITE 500"",""street2"":null,""city"":""DALLAS"",""stateOrCountry"":""TX"",""zipCode"":""75248"",""stateOrCountryDescription"":""TX"",""isForeignLocation"":null,""foreignStateTerritory"":null,""country"":null,""countryCode"":null}"
"BSM","0001621434","Black Stone Minerals L.P. Common units representing limited partner interests","1311","Crude Petroleum & Natural Gas","Diversified Utility","Extended SIC 1311 + Keywords: natural gas","1231","operating","[""NYSE"",""OTC""]","{""street1"":""1001 FANNIN STREET, SUITE 2020"",""street2"":null,""city"":""HOUSTON"",""stateOrCountry"":""TX"",""zipCode"":""77022"",""stateOrCountryDescription"":""TX"",""isForeignLocation"":null,""foreignStateTerritory"":null,""country"":null,""countryCode"":null}"
"CDZI","0000727273","CADIZ Inc. Common Stock","4941","Water Supply","Diversified Utility","Extended SIC 4941 + Keywords: water, water supply","1231","operating","[""Nasdaq"",""Nasdaq""]","{""street1"":""550 SOUTH HOPE STREET"",""street2"":""SUITE 2850"",""city"":""LOS ANGELES"",""stateOrCountry"":""CA"",""zipCode"":""90071"",""stateOrCountryDescription"":""CA"",""isForeignLocation"":null,""foreignStateTerritory"":null,""country"":null,""countryCode"":null}"
"CDZIP","0000727273","Cadiz Inc. Depositary Shares","4941","Water Supply","Diversified Utility","Extended SIC 4941 + Keywords: water, water supply","1231","operating","[""Nasdaq"",""Nasdaq""]","{""street1"":""550 SOUTH HOPE STREET"",""street2"":""SUITE 2850"",""city"":""LOS ANGELES"",""stateOrCountry"":""CA"",""zipCode"":""90071"",""stateOrCountryDescription"":""CA"",""isForeignLocation"":null,""foreignStateTerritory"":null,""country"":null,""countryCode"":null}"
"CEG","0001868275","Constellation Energy Corporation Common Stock ","4911","Electric Services","Electric Services","Primary Utility SIC 4911: Electric Services","1231","operating","[""Nasdaq""]","{""street1"":""1310 POINT STREET"",""street2"":null,""city"":""BALTIMORE"",""stateOrCountry"":""MD"",""zipCode"":""21231"",""stateOrCountryDescription"":""MD"",""isForeignLocation"":null,""foreignStateTerritory"":null,""country"":null,""countryCode"":null}"
"CEPU","0001717161","Central Puerto S.A. American Depositary Shares (each represents ten Common Shares)","4911","Electric Services","Electric Services","Primary Utility SIC 4911: Electric Services","1231","other","[""NYSE""]","{""street1"":""AV. T&#1086;MAS ALVA EDISON 2701"",""street2"":null,""city"":""BUENOS AIRES"",""stateOrCountry"":""C1"",""zipCode"":""C1104BAB"",""stateOrCountryDescription"":""Argentina"",""isForeignLocation"":null,""foreignStateTerritory"":null,""country"":null,""countryCode"":null}"
"CETY","0001329606","Clean Energy Technologies Inc. Common Stock","4924","Natural Gas Distribution","Natural Gas Distribution","Primary Utility SIC 4924: Natural Gas Distribution","1231","operating","[""Nasdaq""]","{""street1"":""1340 REYNOLDS AVE"",""street2"":""#120, IRVINE"",""city"":""IRVINE"",""stateOrCountry"":""CA"",""zipCode"":""92614"",""stateOrCountryDescription"":""CA"",""isForeignLocation"":null,""foreignStateTerritory"":null,""country"":null,""countryCode"":null}"
"CHRD","0001486159","Chord Energy Corporation Common Stock","1311","Crude Petroleum & Natural Gas","Diversified Utility","Extended SIC 1311 + Keywords: natural gas","1231","operating","[""Nasdaq"",""OTC""]","{""street1"":""1001 FANNIN STREET"",""street2"":""SUITE 1500"",""city"":""HOUSTON"",""stateOrCountry"":""TX"",""zipCode"":""77002"",""stateOrCountryDescription"":""TX"",""isForeignLocation"":null,""foreignStateTerritory"":null,""country"":null,""countryCode"":null}"
"CIG","0001157557","Comp En De Mn Cemig ADS American Depositary Shares","4911","Electric Services","Electric Services","Primary Utility SIC 4911: Electric Services","","other","[""NYSE"",""NYSE""]","{""street1"":""AVENIDA BARBACENA 1200"",""street2"":""30190 131 BELO HORIZONTE"",""city"":""MINAS GERAIS BRAZIL"",""stateOrCountry"":""D5"",""zipCode"":""30190"",""stateOrCountryDescription"":""Brazil"",""isForeignLocation"":null,""foreignStateTerritory"":null,""country"":null,""countryCode"":null}"
"CIVI","0001509589","Civitas Resources Inc. Common Stock","1311","Crude Petroleum & Natural Gas","Diversified Utility","Extended SIC 1311 + Keywords: natural gas","1231","operating","[""NYSE"",""OTC""]","{""street1"":""555 - 17TH STREET, SUITE 3700"",""street2"":null,""city"":""DENVER"",""stateOrCountry"":""CO"",""zipCode"":""80202"",""stateOrCountryDescription"":""CO"",""isForeignLocation"":null,""foreignStateTerritory"":null,""country"":null,""countryCode"":null}"
"CKX","0000352955","CKX Lands Inc. Common Stock","1311","Crude Petroleum & Natural Gas","Diversified Utility","Extended SIC 1311 + Keywords: natural gas","1231","operating","[""NYSE""]","{""street1"":""2417 SHELL BEACH DRIVE"",""street2"":null,""city"":""LAKE CHARLES"",""stateOrCountry"":""LA"",""zipCode"":""70601"",""stateOrCountryDescription"":""LA"",""isForeignLocation"":null,""foreignStateTerritory"":null,""country"":null,""countryCode"":null}"
"CLNE","0001368265","Clean Energy Fuels Corp. Common Stock","4932","Gas & Other Services Combined","Gas & Other Services Combined","Primary Utility SIC 4932: Gas & Other Services Combined","1231","operating","[""Nasdaq""]","{""street1"":""4675 MACARTHUR COURT, SUITE 800"",""street2"":null,""city"":""NEWPORT BEACH"",""stateOrCountry"":""CA"",""zipCode"":""92660"",""stateOrCountryDescription"":""CA"",""isForeignLocation"":null,""foreignStateTerritory"":null,""country"":null,""countryCode"":null}"
"CMS","0000811156","CMS Energy Corporation Common Stock","4931","Electric & Other Services Combined","Electric & Other Services Combined","Primary Utility SIC 4931: Electric & Other Services Combined","1231","operating","[""NYSE"",""NYSE"",""NYSE"",""NYSE"",""NYSE""]","{""street1"":""ONE ENERGY PLAZA"",""street2"":null,""city"":""JACKSON"",""stateOrCountry"":""MI"",""zipCode"":""49201"",""stateOrCountryDescription"":""MI"",""isForeignLocation"":null,""foreignStateTerritory"":null,""country"":null,""countryCode"":null}"
"CMSA","0000811156","CMS Energy Corporation 5.625% Junior Subordinated Notes due 2078","4931","Electric & Other Services Combined","Electric & Other Services Combined","Primary Utility SIC 4931: Electric & Other Services Combined","1231","operating","[""NYSE"",""NYSE"",""NYSE"",""NYSE"",""NYSE""]","{""street1"":""ONE ENERGY PLAZA"",""street2"":null,""city"":""JACKSON"",""stateOrCountry"":""MI"",""zipCode"":""49201"",""stateOrCountryDescription"":""MI"",""isForeignLocation"":null,""foreignStateTerritory"":null,""country"":null,""countryCode"":null}"
"CMSC","0000811156","CMS Energy Corporation 5.875% Junior Subordinated Notes due 2078","4931","Electric & Other Services Combined","Electric & Other Services Combined","Primary Utility SIC 4931: Electric & Other Services Combined","1231","operating","[""NYSE"",""NYSE"",""NYSE"",""NYSE"",""NYSE""]","{""street1"":""ONE ENERGY PLAZA"",""street2"":null,""city"":""JACKSON"",""stateOrCountry"":""MI"",""zipCode"":""49201"",""stateOrCountryDescription"":""MI"",""isForeignLocation"":null,""foreignStateTerritory"":null,""country"":null,""countryCode"":null}"
"CMSD","0000811156","CMS Energy Corporation 5.875% Junior Subordinated Notes due 2079","4931","Electric & Other Services Combined","Electric & Other Services Combined","Primary Utility SIC 4931: Electric & Other Services Combined","1231","operating","[""NYSE"",""NYSE"",""NYSE"",""NYSE"",""NYSE""]","{""street1"":""ONE ENERGY PLAZA"",""street2"":null,""city"":""JACKSON"",""stateOrCountry"":""MI"",""zipCode"":""49201"",""stateOrCountryDescription"":""MI"",""isForeignLocation"":null,""foreignStateTerritory"":null,""country"":null,""countryCode"":null}"
"CNP","0001130310","CenterPoint Energy Inc (Holding Co) Common Stock","4911","Electric Services","Electric Services","Primary Utility SIC 4911: Electric Services","1231","operating","[""NYSE""]","{""street1"":""1111 LOUISIANA ST."",""street2"":null,""city"":""HOUSTON"",""stateOrCountry"":""TX"",""zipCode"":""77002"",""stateOrCountryDescription"":""TX"",""isForeignLocation"":null,""foreignStateTerritory"":null,""country"":null,""countryCode"":null}"
"CNQ","0001017413","Canadian Natural Resources Limited Common Stock","1311","Crude Petroleum & Natural Gas","Diversified Utility","Extended SIC 1311 + Keywords: natural gas","1231","other","[""NYSE""]","{""street1"":""2100, 855-2 STREET SW"",""street2"":null,""city"":""CALGARY ALBERTA CANADA"",""stateOrCountry"":""A0"",""zipCode"":""T2P 4J8"",""stateOrCountryDescription"":""Alberta, Canada"",""isForeignLocation"":null,""foreignStateTerritory"":null,""country"":null,""countryCode"":null}"
"CNX","0001070412","CNX Resources Corporation Common Stock","1311","Crude Petroleum & Natural Gas","Diversified Utility","Extended SIC 1311 + Keywords: natural gas","1231","operating","[""NYSE""]","{""street1"":""CNX CENTER"",""street2"":""1000 HORIZON VUE DRIVE"",""city"":""CANONSBURG"",""stateOrCountry"":""PA"",""zipCode"":""15317"",""stateOrCountryDescription"":""PA"",""isForeignLocation"":null,""foreignStateTerritory"":null,""country"":null,""countryCode"":null}"
"CPK","0000019745","Chesapeake Utilities Corporation Common Stock","4923","Natural Gas Transmisison & Distribution","Natural Gas Transmission & Distribution","Primary Utility SIC 4923: Natural Gas Transmisison & Distribution","1231","operating","[""NYSE""]","{""street1"":""500 ENERGY LANE"",""street2"":null,""city"":""DOVER"",""stateOrCountry"":""DE"",""zipCode"":""19901"",""stateOrCountryDescription"":""DE"",""isForeignLocation"":null,""foreignStateTerritory"":null,""country"":null,""countryCode"":null}"
"CQP","0001383650","Cheniere Energy Partners LP Common Units","4924","Natural Gas Distribution","Natural Gas Distribution","Primary Utility SIC 4924: Natural Gas Distribution","1231","operating","[""NYSE""]","{""street1"":""845 TEXAS AVENUE"",""street2"":""SUITE 1250"",""city"":""HOUSTON"",""stateOrCountry"":""TX"",""zipCode"":""77002"",""stateOrCountryDescription"":""TX"",""isForeignLocation"":null,""foreignStateTerritory"":null,""country"":null,""countryCode"":null}"
"CRC","0001609253","California Resources Corporation Common Stock","1311","Crude Petroleum & Natural Gas","Diversified Utility","Extended SIC 1311 + Keywords: natural gas","1231","operating","[""NYSE""]","{""street1"":""1 WORLD TRADE CENTER"",""street2"":""SUITE 1500"",""city"":""LONG BEACH"",""stateOrCountry"":""CA"",""zipCode"":""90831"",""stateOrCountryDescription"":""CA"",""isForeignLocation"":null,""foreignStateTerritory"":null,""country"":null,""countryCode"":null}"
"CRGY","0001866175","Crescent Energy Company Class A Common Stock","1311","Crude Petroleum & Natural Gas","Diversified Utility","Extended SIC 1311 + Keywords: natural gas","1231","operating","[""NYSE""]","{""street1"":""600 TRAVIS STREET"",""street2"":""SUITE 7200"",""city"":""HOUSTON"",""stateOrCountry"":""TX"",""zipCode"":""77002"",""stateOrCountryDescription"":""TX"",""isForeignLocation"":null,""foreignStateTerritory"":null,""country"":null,""countryCode"":null}"
"CRK","0000023194","Comstock Resources Inc. Common Stock","1311","Crude Petroleum & Natural Gas","Diversified Utility","Extended SIC 1311 + Keywords: natural gas","1231","operating","[""NYSE""]","{""street1"":""5300 TOWN AND COUNTRY BLVD"",""street2"":""STE 500"",""city"":""FRISCO"",""stateOrCountry"":""TX"",""zipCode"":""75034"",""stateOrCountryDescription"":""TX"",""isForeignLocation"":null,""foreignStateTerritory"":null,""country"":null,""countryCode"":null}"
"CTRA","0000858470","Coterra Energy Inc. Common Stock","1311","Crude Petroleum & Natural Gas","Diversified Utility","Extended SIC 1311 + Keywords: natural gas","1231","operating","[""NYSE""]","{""street1"":""840 GESSNER ROAD, SUITE 1400"",""street2"":null,""city"":""HOUSTON"",""stateOrCountry"":""TX"",""zipCode"":""77024"",""stateOrCountryDescription"":""TX"",""isForeignLocation"":null,""foreignStateTerritory"":null,""country"":null,""countryCode"":null}"
"CTRI","0001981599","Centuri Holdings Inc. Common Stock","4923","Natural Gas Transmisison & Distribution","Natural Gas Transmission & Distribution","Primary Utility SIC 4923: Natural Gas Transmisison & Distribution","1228","operating","[""NYSE""]","{""street1"":""19820 NORTH 7TH AVENUE SUITE 120"",""street2"":null,""city"":""PHOENIX"",""stateOrCountry"":""AZ"",""zipCode"":""85027"",""stateOrCountryDescription"":""AZ"",""isForeignLocation"":null,""foreignStateTerritory"":null,""country"":null,""countryCode"":null}"
"CVE","0001475260","Cenovus Energy Inc Common Stock","1311","Crude Petroleum & Natural Gas","Diversified Utility","Extended SIC 1311 + Keywords: natural gas","1231","other","[""NYSE"",""OTC"",""NYSE""]","{""street1"":""225 - 6 AVENUE S.W."",""street2"":""P.O. BOX 766"",""city"":""CALGARY"",""stateOrCountry"":""A0"",""zipCode"":""T2P 1N2"",""stateOrCountryDescription"":""Alberta, Canada"",""isForeignLocation"":null,""foreignStateTerritory"":null,""country"":null,""countryCode"":null}"
"CWCO","0000928340","Consolidated Water Co. Ltd. Ordinary Shares","4941","Water Supply","Diversified Utility","Extended SIC 4941 + Keywords: water, water supply","1231","operating","[""Nasdaq""]","{""street1"":""REGATTA OFFICE PARK, WINDWARD THREE,"",""street2"":""4TH FLOOR, WEST BAY ROAD, P.O. BOX 1114"",""city"":""GRAND CAYMAN"",""stateOrCountry"":""E9"",""zipCode"":""KY1-1102"",""stateOrCountryDescription"":""Cayman Islands"",""isForeignLocation"":null,""foreignStateTerritory"":null,""country"":null,""countryCode"":null}"
"CWEN","0001567683","Clearway Energy Inc. Class C Common Stock","4911","Electric Services","Electric Services","Primary Utility SIC 4911: Electric Services","1231","operating","[""NYSE"",""NYSE""]","{""street1"":""300 CARNEGIE CENTER, SUITE 300"",""street2"":null,""city"":""PRINCETON"",""stateOrCountry"":""NJ"",""zipCode"":""08540"",""stateOrCountryDescription"":""NJ"",""isForeignLocation"":null,""foreignStateTerritory"":null,""country"":null,""countryCode"":null}"
